figure,description,script_old,script_new,results_dir_old,results_dir_new,action
Figure 2—figure supplement 4,RRHO plots for EE30m vs SE.,03-scripts/R/manuscript_DGE_reviewer_response_06_rrho_EE30m_vs_SE.R,03-scripts/figures/Figure2_SuppFig4.R,04-analysis/reviewer_response/rrho (now 04-analysis/dge_method_comparison/rrho),05-results/Figure2_SuppFig4,moved R/ -> figures/; plots redirected out of gitignored 04-analysis
Figure 2—figure supplement 5,RRHO plots for EE6h vs SE.,03-scripts/R/manuscript_DGE_reviewer_response_07_rrho_EE6h_vs_SE.R,03-scripts/figures/Figure2_SuppFig5.R,04-analysis/reviewer_response/rrho (now 04-analysis/dge_method_comparison/rrho),05-results/Figure2_SuppFig5,moved R/ -> figures/; plots redirected out of gitignored 04-analysis
Figure 2—figure supplement 6,DG populations visualized in the ABC MERFISH atlas.,03-scripts/figures/SuppFigure4.R,03-scripts/figures/Figure2_SuppFig6.R,05-results/Figure2_SuppFig1,05-results/Figure2_SuppFig6,renumbered (was supp 1); renamed; save path fixed (was stale 05-results/LION)
Figure 2—figure supplement 7,Volcano plots of EE-induced DEGs in IMN population.,03-scripts/figures/Figure2_SuppFig3.R,03-scripts/figures/Figure2_SuppFig7.R,05-results/Figure2_SuppFig3,05-results/Figure2_SuppFig7,renumber (was supp 3); renamed; save path fixed
Figure 3—figure supplement 1,Tau heatmaps with limma/voom-ascertained DEGs: panels A/E/I,03-scripts/figures/SuppFigure_Fig3_Supp1AEI.R,03-scripts/figures/Figure3_SuppFig1AEI.R,05-results/Figure3_SuppFig1,05-results/Figure3_SuppFig1,renamed; save path fixed (was stale 05-results/SuppFigure_Fig3_Supp1)
Figure 3—figure supplement 1,Tau heatmaps with limma/voom-ascertained DEGs: panels B/F/J,03-scripts/figures/SuppFigure_Fig3_Supp1BFJ.R,03-scripts/figures/Figure3_SuppFig1BFJ.R,05-results/Figure3_SuppFig1,05-results/Figure3_SuppFig1,renamed; save path fixed (was stale 05-results/SuppFigure_Fig3_Supp1)
Figure 3—figure supplement 1,Tau heatmaps with limma/voom-ascertained DEGs: panels C/G/K,03-scripts/figures/SuppFigure_Fig3_Supp1CGK.R,03-scripts/figures/Figure3_SuppFig1CGK.R,05-results/Figure3_SuppFig1,05-results/Figure3_SuppFig1,renamed; save path already correct
Figure 4—figure supplement 1,Parameter sweep heatmap for CA1 active cell analysis.,03-scripts/figures/Figure4_SuppFig1.R,03-scripts/figures/Figure4_SuppFig1.R,05-results/Figure4_SuppFig1,05-results/Figure4_SuppFig1,unchanged (added during revisions)
Figure 4—figure supplement 2,Active cell PR/ROC curves for active vs inactive cells.,03-scripts/figures/Figure4_SuppFig2.R,03-scripts/figures/Figure4_SuppFig2.R,05-results/Figure4_SuppFig2,05-results/Figure4_SuppFig2,unchanged (added during revisions)
Figure 6—figure supplement 1,"SE expression of IEGs across ZTs in CA1.",03-scripts/figures/Figure5_SuppFig1-2.R,03-scripts/figures/Figure6_SuppFig1-2.R,05-results/Figure5_SuppFig1-2,05-results/Figure6_SuppFig1-2,renumbered Fig5 -> Fig6; renamed; save path fixed; DG outputs not yet generated
Figure 6—figure supplement 2,"SE expression of IEGs across ZTs in DG.",03-scripts/figures/Figure5_SuppFig1-2.R,03-scripts/figures/Figure6_SuppFig1-2.R,05-results/Figure5_SuppFig1-2,05-results/Figure6_SuppFig1-2,renumbered Fig5 -> Fig6; renamed; save path fixed; DG outputs not yet generated
Supplementary Item 1,CSV of biological replicates with metadata and nuclei counts per Subclass,03-scripts/figures/SuppItem1.R,03-scripts/figures/SuppItem1.R,05-results/SuppItem1,05-results/SuppItem1,unchanged; companion table image comes from Figure1_SuppFig1.R
Supplementary Item 2,Tables of values associated with Figure 4—figure supplement 1,03-scripts/figures/Figure4_SuppFig1.R,03-scripts/figures/Figure4_SuppFig1.R,05-results/SuppItem2,05-results/SuppItem2,unchanged (same script also makes Fig4—supp 1)
